Entity	Group
American Samoa	Christian
Andorra	Christian
Angola	Christian
Anguilla	Christian
Antigua and Barbuda	Christian
Argentina	Christian
Armenia	Christian
Aruba	Christian
Australia	Christian
Austria	Christian
Bahamas	Christian
Barbados	Christian
Belarus	Christian
Belgium	Christian
Belize	Christian
Bermuda	Christian
Bolivia	Christian
Botswana	Christian
Brazil	Christian
British Virgin Islands	Christian
Bulgaria	Christian
Burundi	Christian
Cameroon	Christian
Canada	Christian
Cape Verde	Christian
Cayman Islands	Christian
Channel Islands	Christian
Chile	Christian
Colombia	Christian
Congo, Dem. Rep.	Christian
Congo, Rep.	Christian
Cook Islands	Christian
Costa Rica	Christian
Croatia	Christian
Cuba	Christian
Cyprus	Christian
Czech Rep.	Christian
Denmark	Christian
Dominica	Christian
Dominican Rep.	Christian
Ecuador	Christian
El Salvador	Christian
Equatorial Guinea	Christian
Estonia	Christian
Ethiopia	Christian
Faeroe Islands	Christian
Falkland Islands (Malvinas)	Christian
Fiji	Christian
Finland	Christian
France	Christian
French Guiana	Christian
French Polynesia	Christian
Gabon	Christian
Georgia	Christian
Germany	Christian
Ghana	Christian
Gibraltar	Christian
Greece	Christian
Greenland	Christian
Grenada	Christian
Guadeloupe	Christian
Guam	Christian
Guatemala	Christian
Guyana	Christian
Haiti	Christian
Holy See	Christian
Honduras	Christian
Hungary	Christian
Iceland	Christian
Ireland	Christian
Isle of Man	Christian
Italy	Christian
Jamaica	Christian
Kenya	Christian
Kiribati	Christian
Latvia	Christian
Lesotho	Christian
Liechtenstein	Christian
Lithuania	Christian
Luxembourg	Christian
Macedonia, FYR	Christian
Malawi	Christian
Malta	Christian
Marshall Islands	Christian
Martinique	Christian
Mexico	Christian
Micronesia, Fed. Sts.	Christian
Moldova	Christian
Monaco	Christian
Montenegro	Christian
Montserrat	Christian
Mozambique	Christian
Namibia	Christian
Nauru	Christian
Netherlands	Christian
New Caledonia	Christian
New Zealand	Christian
Nicaragua	Christian
Niue	Christian
Northern Mariana Islands	Christian
Norway	Christian
Palau	Christian
Panama	Christian
Papua New Guinea	Christian
Paraguay	Christian
Peru	Christian
Philippines	Christian
Pitcairn	Christian
Poland	Christian
Portugal	Christian
Puerto Rico	Christian
Reunion	Christian
Romania	Christian
Russia	Christian
Rwanda	Christian
Saint Helena	Christian
Saint Kitts and Nevis	Christian
Saint Lucia	Christian
Saint Vincent and the Grenadines	Christian
Saint-Pierre-et-Miquelon	Christian
Samoa	Christian
San Marino	Christian
Sao Tome and Principe	Christian
Serbia	Christian
Seychelles	Christian
Slovak Republic	Christian
Slovenia	Christian
Solomon Islands	Christian
South Africa	Christian
Spain	Christian
Suriname	Christian
Swaziland	Christian
Sweden	Christian
Switzerland	Christian
Tanzania	Christian
Timor-Leste	Christian
Tokelau	Christian
Tonga	Christian
Trinidad and Tobago	Christian
Turks and Caicos Islands	Christian
Tuvalu	Christian
Uganda	Christian
Ukraine	Christian
United Kingdom	Christian
United States	Christian
Uruguay	Christian
Wallis et Futuna	Christian
Vanuatu	Christian
Venezuela	Christian
Virgin Islands (U.S.)	Christian
Zambia	Christian
Zimbabwe	Christian
Afghanistan	Muslim
Albania	Muslim
Algeria	Muslim
Azerbaijan	Muslim
Bahrain	Muslim
Bangladesh	Muslim
Brunei	Muslim
Burkina Faso	Muslim
Chad	Muslim
Comoros	Muslim
Djibouti	Muslim
Egypt	Muslim
Eritrea	Muslim
Gambia	Muslim
Guinea	Muslim
Indonesia	Muslim
Iran	Muslim
Iraq	Muslim
Jordan	Muslim
Kazakhstan	Muslim
Kosovo	Muslim
Kuwait	Muslim
Kyrgyzstan	Muslim
Libya	Muslim
Malaysia	Muslim
Maldives	Muslim
Mali	Muslim
Mauritania	Muslim
Mayotte	Muslim
Morocco	Muslim
Niger	Muslim
Oman	Muslim
Pakistan	Muslim
Qatar	Muslim
Saudi Arabia	Muslim
Senegal	Muslim
Somalia	Muslim
Sudan	Muslim
Syria	Muslim
Tajikistan	Muslim
Tunisia	Muslim
Turkey	Muslim
Turkmenistan	Muslim
United Arab Emirates	Muslim
Uzbekistan	Muslim
West Bank and Gaza	Muslim
Western Sahara	Muslim
Yemen, Rep.	Muslim
Bhutan	Eastern religions
Cambodia	Eastern religions
China	Eastern religions
Hong Kong, China	Eastern religions
India	Eastern religions
Japan	Eastern religions
Laos	Eastern religions
Macao, China	Eastern religions
Myanmar	Eastern religions
Nepal	Eastern religions
Singapore	Eastern religions
Sri Lanka	Eastern religions
Taiwan	Eastern religions
Thailand	Eastern religions
Vietnam	Eastern religions
Benin	
Bosnia and Herzegovina	
Cote d'Ivoire	
Guinea-Bissau	
Korea, Rep.	
Lebanon	
Liberia	
Madagascar	
Mauritius	
Nigeria	
Sierra Leone	
Togo	
Israel	
Korea, Dem. Rep.	
Mongolia	
Northern Cyprus	
Northern Mariana Islands	
Palau	
Pitcairn	
Puerto Rico	
Reunion	
Saint Barthélemy	
Saint Helena	
Saint Martin	
Saint-Pierre-et-Miquelon	
Serbia	
Serbia excluding Kosovo	
Somaliland	
South Ossetia	
Svalbard	
Timor-Leste	
Tokelau	
Transnistria	
Turks and Caicos Islands	
Tuvalu	
USSR	
Wallis et Futuna	
West Bank and Gaza	
Western Sahara	
Virgin Islands (U.S.)	
Yemen Arab Republic (Former)	
Yemen Democratic (Former)	
Yugoslavia	
Åland	
